
{{Infobox United States federal proposed legislation
| name            = Balancing Food, Farm, and the Environment Act of 2013
| fullname        = To modernize the conservation title of the Food Security Act of 1985, protect long-term taxpayer investment, increase small and midsize farmer’s access to programs, and prioritize modern-day conservation needs through management practices, local engagement, and stewardship.
| acronym         =
| nickname        =
| introduced in the = 113th
| introduceddate   =
| sponsored by    = [[Earl Blumenauer|Rep. Earl Blumenauer (D, OR-3)]]
| number of co-sponsors = 12
| public law url  =
| cite public law =
| cite statutes at large =
| acts affected = [[Food Security Act of 1985]], [[Balancing Food, Farm, and the Environment Act of 2013]], [[Federal Crop Insurance Act]], [[Internal Revenue Code of 1986]], [[Federal Agriculture Improvement and Reform Act of 1996]], and others.
| acts repealed   =
| title affected   =
| sections created =
| sections affected = {{USC|16|3839aa–2}}, {{USC|16|3838g}}, {{USC|7|6501}} et seq., {{USC|16|3838f}}, {{USC|16|3838e}}, and others.
| agenciesaffected = [[United States Congress]], [[United States Department of Agriculture]], [[Commodity Credit Corporation]], [[Federal Crop Insurance Corporation]], [[Natural Resources Conservation Service]], [[Farm Service Agency]], [[United States Department of the Interior]], [[United States Geological Survey]], [[United States Environmental Protection Agency]]
| authorizationsofappropriations =
| appropriations =
| leghisturl      =
| introducedin    = House
| introducedbill  = {{USBill|113|hr|1890}}
| introducedby    = [[Earl Blumenauer|Rep. Earl Blumenauer (D, OR-3)]]
| introduceddate  = May 8, 2013
| committees      = [[United States House Committee on Agriculture]]
| passedbody1     =
| passeddate1     =
| passedvote1     =
| passedbody2     =
| passedas2       =
| passeddate2     =
| passedvote2     =
| conferencedate  =
| passedbody3     =
| passeddate3     =
| passedvote3     =
| agreedbody3     =
| agreeddate3     =
| agreedvote3     =
| agreedbody4     =
| agreeddate4     =
| agreedvote4     =
| passedbody4     =
| passeddate4     =
| passedvote4     =
| signedpresident =
| signeddate      =
| unsignedpresident =
| unsigneddate    =
| vetoedpresident =
| vetoeddate      =
| overriddenbody1 =
| overriddendate1 =
| overriddenvote1 =
| overriddenbody2 =
| overriddendate2 =
| overriddenvote2 =
| amendments      =
| SCOTUS cases    =
}}
++++++++++++++++++++++++++++++




Acts impacted, by reference count:
	345:	Food Security Act of 1985
	36:	Balancing Food, Farm, and the Environment Act of 2013
	11:	Federal Crop Insurance Act
	11:	Internal Revenue Code of 1986
	9:	Federal Agriculture Improvement and Reform Act of 1996
	8:	Organic Foods Production Act of 1990
	4:	Commodity Credit Corporation Charter Act
	2:	Farm Security and Rural Investment Act of 2002
	2:	Food, Conservation, and Energy Act of 2008
	1:	Soil Conservation and Domestic Allotment Act
	1:	Agricultural Market Transition Act
	1:	Consolidated Farm and Rural Development Act
	1:	Cooperative Forestry Assistance Act of 1978


Sections impacted, by reference count:
	15:	{{USC|16|3839aa–2}}
	12:	{{USC|16|3838g}}
	8:	{{USC|7|6501}} et seq.
	7:	{{USC|16|3838f}}
	5:	{{USC|16|3838e}}
	5:	{{USC|16|3838d}}
	4:	{{USC|16|3822}}
	4:	{{USC|16|3801}}
	4:	{{USC|7|1501}} et seq.
	4:	{{USC|16|3839aa–3}}
	3:	{{USC|16|3839aa–9}}
	3:	{{USC|16|3838n}} et seq.
	3:	{{USC|16|3839bb–1}}
	3:	{{USC|16|3831}}
	3:	{{USC|16|3843}}
	3:	{{USC|16|3839aa–1}}
	3:	{{USC|16|3837}} et seq.
	3:	{{USC|16|3839bb–4}}
	3:	{{USC|16|3812a}}
	3:	{{USC|16|3838h}} et seq.
	2:	{{USC|7|1308}}
	2:	{{USC|43|2211}}
	2:	{{USC|16|3841}}
	2:	{{USC|16|3839aa–5}}
	2:	{{USC|16|3831a}}
	2:	{{USC|16|3811}} et seq.
	2:	{{USC|16|3821}}
	2:	{{USC|16|3835}}
	2:	{{USC|15|714b}}
	2:	{{USC|7|7333}}
	2:	{{USC|16|3839aa–8}}
	2:	{{USC|7|8701}} et seq.
	1:	{{USC|16|590h}}
	1:	{{USC|16|3844}}
	1:	{{USC|7|1508}}
	1:	{{USC|7|1921}} et seq.
	1:	{{USC|16|3831}} et seq.
	1:	{{USC|16|3839aa–6}}
	1:	{{USC|16|3814}}
	1:	{{USC|16|3839bb–3}}
	1:	{{USC|16|2103a}}
	1:	{{USC|16|3838a}}
	1:	{{USC|16|3839aa}} et seq.
	1:	{{USC|7|7201}} et seq.
	1:	{{USC|16|3821}} et seq.
	1:	{{USC|15|714c}}
	1:	{{USC|16|3839bb}} et seq.
	1:	{{USC|16|3839aa–7}}
	1:	{{USC|16|3841}} et seq.
	1:	{{USC|16|3811}}
	1:	{{USC|16|3812}}
	1:	{{USC|16|3839aa}}
	1:	{{USC|16|3839}} et seq.
	1:	{{USC|15|714}} et seq.

-30-
