com_code,com_name,wikipedia_link
JCSE00,Commission on Security and Cooperation in Europe,http://en.wikipedia.org/wiki/Commission_on_Security_and_Cooperation_in_Europe
JSDF00,Joint Select Committee on Deficit Reduction,http://en.wikipedia.org/wiki/Joint_Select_Committee_on_Deficit_Reduction
JSEC00,Joint Economic Committee,http://en.wikipedia.org/wiki/Joint_Economic_Committee
JSLC00,Joint Committee on the Library,http://en.wikipedia.org/wiki/Joint_Committee_on_the_Library
JSPR00,Joint Committee on Printing,http://en.wikipedia.org/wiki/Joint_Committee_on_Printing
JSTX00,Joint Committee on Taxation,http://en.wikipedia.org/wiki/United_States_Congress_Joint_Committee_on_Taxation
SLET00,Senate Select Committee on Ethics ,http://en.wikipedia.org/wiki/United_States_Senate_Select_Committee_on_Ethics
SLIN00,Senate Select Committee on Intelligence,http://en.wikipedia.org/wiki/United_States_Senate_Select_Committee_on_Intelligence
SPAG00,Senate Select Committee on Aging,http://en.wikipedia.org/wiki/United_States_Senate_Special_Committee_on_Aging
SSAF00,"Senate Committee on Agriculture, Nutrition, and Forestry","http://en.wikipedia.org/wiki/United_States_Senate_Committee_on_Agriculture,_Nutrition_and_Forestry"
SSAF13,"Subcommittee on Commodities, Markets, Trade and Risk Management","https://en.wikipedia.org/wiki/United_States_Senate_Agriculture_Subcommittee_on_Commodities,_Markets,_Trade_and_Risk_Management"
SSAF14,"Subcommittee on Conservation, Forestry and Natural Resources","http://en.wikipedia.org/wiki/United_States_Senate_Agriculture_Subcommittee_on_Conservation,_Forestry_and_Natural_Resources"
SSAF15,"Subcommittee on Jobs, Rural Economic Growth and Energy Innovation","http://en.wikipedia.org/wiki/United_States_Senate_Agriculture_Subcommittee_on_Jobs,_Rural_Economic_Growth_and_Energy_Innovation"
SSAF16,"Subcommittee on Nutrition, Specialty Crops, Food and Agricultural Research","http://en.wikipedia.org/wiki/United_States_Senate_Agriculture_Subcommittee_on_Nutrition,_Specialty_Crops,_Food_and_Agricultural_Research"
SSAF17,"Subcommittee on Livestock, Dairy, Poultry, Marketing and Agriculture Security","http://en.wikipedia.org/wiki/United_States_Senate_Agriculture_Subcommittee_on_Livestock,_Dairy,_Poultry,_Marketing_and_Agriculture_Security"
SSAP00,Senate Committee on Appropriations,http://en.wikipedia.org/wiki/United_States_Senate_Committee_on_Appropriations
