bioguide_id,name,wikipedia_link
A000055,"Rep. Robert B. Aderholt (R, AL-4)",http://en.wikipedia.org/wiki/Robert_Aderholt
A000361,"Rep. Rodney Alexander (R, LA-5)",http://en.wikipedia.org/wiki/Rodney_Alexander
A000210,"Rep. Robert E. Andrews (D, NJ-1)",http://en.wikipedia.org/wiki/Rob_Andrews
B000013,"Rep. Spencer Bachus (R, AL-6)",http://en.wikipedia.org/wiki/Spencer_Bachus
B001230,"Sen. Tammy Baldwin (D, WI)",http://en.wikipedia.org/wiki/Tammy_Baldwin
B000213,"Rep. Joe Barton (R, TX-6)",http://en.wikipedia.org/wiki/Joe_Barton
B000287,"Rep. Xavier Becerra (D, CA-34)",http://en.wikipedia.org/wiki/Xavier_Becerra
B000490,"Rep. Sanford D. Bishop Jr. (D, GA-2)",http://en.wikipedia.org/wiki/Sanford_Bishop
B001242,"Rep. Timothy H. Bishop (D, NY-1)",http://en.wikipedia.org/wiki/Tim_Bishop
B001250,"Rep. Rob Bishop (R, UT-1)",http://en.wikipedia.org/wiki/Rob_Bishop
B001243,"Rep. Marsha Blackburn (R, TN-7)",http://en.wikipedia.org/wiki/Marsha_Blackburn
B000574,"Rep. Earl Blumenauer (D, OR-3)",http://en.wikipedia.org/wiki/Earl_Blumenauer
B000575,"Sen. Roy Blunt (R, MO)",http://en.wikipedia.org/wiki/Roy_Blunt
B000589,"Rep. John A. Boehner (R, OH-8)",http://en.wikipedia.org/wiki/John_Boehner
B001244,"Rep. Jo Bonner (R, AL-1)",http://en.wikipedia.org/wiki/Jo_Bonner
B001236,"Sen. John Boozman (R, AR)",http://en.wikipedia.org/wiki/John_Boozman
B001245,"Del. Madeleine Z. Bordallo (D, GU-0)",http://en.wikipedia.org/wiki/Madeleine_Bordallo
B001227,"Rep. Robert A. Brady (D, PA-1)",http://en.wikipedia.org/wiki/Bob_Brady
B000755,"Rep. Kevin Brady (R, TX-8)",http://en.wikipedia.org/wiki/Kevin_Brady
B000911,"Rep. Corrine Brown (D, FL-5)",http://en.wikipedia.org/wiki/Corrine_Brown
B000944,"Sen. Sherrod Brown (D, OH)",http://en.wikipedia.org/wiki/Sherrod_Brown
B001248,"Rep. Michael C. Burgess (R, TX-26)",http://en.wikipedia.org/wiki/Michael_C._Burgess
B001135,"Sen. Richard Burr (R, NC)",http://en.wikipedia.org/wiki/Richard_Burr
C000059,"Rep. Ken Calvert (R, CA-42)",http://en.wikipedia.org/wiki/Ken_Calvert
C000071,"Rep. Dave Camp (R, MI-4)",http://en.wikipedia.org/wiki/Dave_Camp
C001046,"Rep. Eric Cantor (R, VA-7)",http://en.wikipedia.org/wiki/Eric_Cantor
