public_law,popular_name,wikipedia_link,red_link
111-148,Patient Protection and Affordable Care Act,http://en.wikipedia.org/wiki/Patient_Protection_and_Affordable_Care_Act,
111-5,American Recovery and Reinvestment Act of 2009,http://en.wikipedia.org/wiki/American_Recovery_and_Reinvestment_Act_of_2009,
109-162,International Marriage Broker Regulation Act,http://en.wikipedia.org/wiki/International_Marriage_Broker_Regulation_Act,
90-284,Civil Rights Act of 1968,http://en.wikipedia.org/wiki/Civil_Rights_Act_of_1968,
112-55,"Consolidated and Further Continuing Appropriations Act, 2012",,"http://en.wikipedia.org/wiki/Consolidated_and_Further_Continuing_Appropriations_Act,_2012"
91-383,National Park Service General Authorities Act,http://en.wikipedia.org/wiki/National_Park_Service_General_Authorities_Act,
112-175,"Continuing Appropriations Resolution, 2013","http://en.wikipedia.org/wiki/Continuing_Appropriations_Resolution,_2013",
107-107,National Defense Authorization Act for Fiscal Year 2002,,
106-386,Victims of Trafficking and Violence Protection Act of 2000,http://en.wikipedia.org/wiki/Victims_of_Trafficking_and_Violence_Protection_Act_of_2000,
106-554,"Consolidated Appropriations Act, 2001",,
79-224,Guam Meritorious Claims Act of 1945,,
112-74 ,"Consolidated Appropriations Act, 2012","http://en.wikipedia.org/wiki/Consolidated_Appropriations_Act,_2012",
111-152,Health Care and Education Reconciliation Act of 2010,http://en.wikipedia.org/wiki/Health_Care_and_Education_Reconciliation_Act_of_2010,
108-382,Provo River Project Transfer Act,,
107-110,No Child Left Behind Act,http://en.wikipedia.org/wiki/No_Child_Left_Behind_Act,
105-277,Persian Gulf War Veterans Act,,http://en.wikipedia.org/wiki/Persian_Gulf_War_Veterans_Act
104-121,Small Business Regulatory Enforcement Fairness Act of 1996,,
103-159,Brady Handgun Violence Prevention Act,http://en.wikipedia.org/wiki/Brady_Handgun_Violence_Prevention_Act,
91-405 ,District of Columbia Delegate Act,,
111-8,"Omnibus Appropriations Act, 2009","http://en.wikipedia.org/wiki/Omnibus_Appropriations_Act,_2009",
111-84 ,National Defense Authorization Act for Fiscal Year 2010,http://en.wikipedia.org/wiki/National_Defense_Authorization_Act_for_Fiscal_Year_2010,
111-117,"Consolidated Appropriations Act, 2010","http://en.wikipedia.org/wiki/Consolidated_Appropriations_Act,_2010",
111-242,"Continuing Appropriations Act, 2011",,"http://en.wikipedia.org/wiki/Continuing_Appropriations_Act,_2011"
110-161,"Consolidated Appropriations Act, 2008",,
109-108,"Science, State, Justice, Commerce, and Related Agencies Appropriations Act, 2006",,
109-295,"Department of Homeland Security Appropriations Act, 2007","http://en.wikipedia.org/wiki/Department_of_Homeland_Security_Appropriations_Act,_2007",
108-421,Highlands Conservation Act,,
107-40 ,Authorization for Use of Military Force Against Terrorists,http://en.wikipedia.org/wiki/Authorization_for_Use_of_Military_Force_Against_Terrorists,
106-569,American Homeownership and Economic Opportunity Act of 2000,,
104-5  ,Jerusalem Embassy Act of 1995,http://en.wikipedia.org/wiki/Jerusalem_Embassy_Act,
104-45 ,Jerusalem Embassy Act,http://en.wikipedia.org/wiki/Jerusalem_Embassy_Act,
103-322,Violent Crime Control and Law Enforcement Act,http://en.wikipedia.org/wiki/Violent_Crime_Control_and_Law_Enforcement_Act,
102-575,Central Utah Project Completion Act of 1992,http://en.wikipedia.org/wiki/Central_Utah_Project_Completion_Act,
Part A of Titile XXIX 101-510,Defense Base Closure and Realignment Act of 1990,,
101-576,Chief Financial Officers Act,http://en.wikipedia.org/wiki/Chief_Financial_Officers_Act,
98-381 ,Hoover Power Plant Act of 1984,,
96-487 ,Alaska National Interest Lands Conservation Act,http://en.wikipedia.org/wiki/Alaska_National_Interest_Lands_Conservation_Act,
89-732 ,Cuban Refugee Adjustment Act,http://en.wikipedia.org/wiki/Cuban_Refugee_Adjustment_Act,
112-10 ,2011 United States federal budget,,"http://en.wikipedia.org/wiki/Department_of_Defense_and_Full-Year_Continuing_Appropriations_Act,_2011"
112-141,Moving Ahead for Progress in the 21st Century Act,http://en.wikipedia.org/wiki/MAP-21,
112-239,National Defense Authorization Act for Fiscal Year 2013,http://en.wikipedia.org/wiki/National_Defense_Authorization_Act_for_Fiscal_Year_2013,
112-240,American Taxpayer Relief Act of 2012,http://en.wikipedia.org/wiki/American_Taxpayer_Relief_Act_of_2012,
111-11 ,Omnibus Public Land Management Act of 2009,http://en.wikipedia.org/wiki/Omnibus_Public_Land_Management_Act_of_2009,
111-203,Dodd–Frank Wall Street Reform and Consumer Protection Act,http://en.wikipedia.org/wiki/Dodd-Frank_Wall_Street_Reform_and_Consumer_Protection_Act,
111-220,Fair Sentencing Act,http://en.wikipedia.org/wiki/Fair_Sentencing_Act_of_2010,
111-241,Multinational Species Conservation Funds Semipostal Stamp Act of 2010,,http://en.wikipedia.org/wiki/Multinational_Species_Conservation_Funds_Semipostal_Stamp_Act_of_2010
110-53 ,Implementing Recommendations of the 9/11 Commission Act of 2007,http://en.wikipedia.org/wiki/Implementing_Recommendations_of_the_9/11_Commission_Act_of_2007,
110-140,Energy Independence and Security Act of 2007,http://en.wikipedia.org/wiki/Energy_Independence_and_Security_Act_of_2007,
110-181,National Defense Authorization Act for Fiscal Year 2008,http://en.wikipedia.org/wiki/National_Defense_Authorization_Act_for_Fiscal_Year_2008,
110-229,Consolidated Natural Resources Act of 2008,http://en.wikipedia.org/wiki/Consolidated_Natural_Resources_Act_of_2008,
110-343,Emergency Economic Stabilization Act of 2008,http://en.wikipedia.org/wiki/Public_Law_110-343,http://en.wikipedia.org/wiki/Emergency_Economic_Stabilization_Act_of_2008
109-58 ,Energy Policy Act of 2005,http://en.wikipedia.org/wiki/Energy_Policy_Act_of_2005,
109-88 ,Community Disaster Loan Act of 2005,,
109-431,To study and promote the use of energy efficient computer servers in the United States,,
Title V of 109-479,Western and Central Pacific Fisheries Convention Implementation Act,,
108-7  ,"Consolidated Appropriations Resolution, 2003",,
108-137,"Energy and Water Development Appropriations Act, 2004",,
107-82 ,Drug-Free Communities Support Program Reauthorization,,
107-273,21st Century Department of Justice Appropriations Authorization Act,,
106-53 ,Water Resources Development Act of 1999,http://en.wikipedia.org/wiki/Water_Resources_Development_Act_of_1999,
105-57 ,National Wildlife Refuge System Improvement Act,,http://en.wikipedia.org/wiki/National_Wildlife_Refuge_System_Improvement_Act
105-65 ,"Department of Veterans Affairs and Housing and Urban Development, and Independent Agencies Appropriations Act, 1998",,
Title IV of 105-285,Assets for Independence Act,,
104-208,Domestic Violence Offender Gun Ban,http://en.wikipedia.org/wiki/Domestic_Violence_Offender_Gun_Ban,
104-303,Water Resources Development Act of 1996,http://en.wikipedia.org/wiki/Water_Resources_Development_Act_of_1996,
104-331,Presidential and Executive Office Accountability Act,,
101-73 ,"Financial Institutions Reform, Recovery, and Enforcement Act of 1989",,
Title IX of 101-628,Camp W.G. Williams Land Exchange Act of 1989,,
101-647,Crime Control Act of 1990,http://en.wikipedia.org/wiki/Crime_Control_Act_of_1990,
100-526,Defense Authorization Amendments and Base Closure and Realignment Act,,
99-177 ,Gramm–Rudman–Hollings Balanced Budget Act,http://en.wikipedia.org/wiki/Gramm-Rudman-Hollings_Balanced_Budget_Act,
99-500 ,"Legislative Branch Appropriations Act, 1987",,
99-554 ,"Bankruptcy Judges, United States Trustees, and Family Farmer Bankruptcy Act of 1986",,
99-572 ,An Act to authorize the erection of a memorial on Federal Land in the District of Columbia and its environs to honor members of the Armed Forces of the United States who served in the Korean War,,
99-591 ,"Making continuing appropriations for the fiscal year 1987, and for other purposes.",,
99-639 ,Immigration Marriage Fraud Amendments of 1986,,
96-8   ,Taiwan Relations Act,http://en.wikipedia.org/wiki/Taiwan_relations_act,
95-375 ,"To provide for the extension of certain Federal benefits, services, and assistance to the Pascua Yaqui Indians of Arizona, and for other purposes. ",,
95-521 ,Ethics in Government Act,http://en.wikipedia.org/wiki/Ethics_in_Government_Act,
92-400 ,Sawtooth National Recreation Area Act,,
91-479 ,"To establish in the State of Michigan the Sleeping Bear Dunes National Lakeshore, and for other purposes. ",,
88-352 ,Civil Rights Act of 1964,http://en.wikipedia.org/wiki/Civil_Rights_Act_of_1964,
80-357 ,United Nations Headquarters Agreement Act,,
79-264 ,United Nations Participation Act,http://en.wikipedia.org/wiki/United_Nations_Participation_Act,
79-565 ,"A joint resolution providing for membership and participation by the United States in the United Nations Educational, Scientific, and Cultural Organization, authorizing an appropriation therefor",,
73-404 ,section 13 of 15(d) of the Securities Exchange Act of 1934,,
