"50 U.S.C. 1541–1548","usc/50/1541..1548"
"sections 5312 through 5316 of title 5, United States Code","usc/5/5312..5316"
"sections 5312 through 5316 of title 5, United States Code","usc/5/5312..5316"
"sections 1475–1477","usc/10/1475..1477"
"subsections (a) through (f)","usc/11/1113/a..f"
"16 U.S.C. 1858 through 1861","usc/16/1858..1861"
"subparagraphs (A) through (C)","usc/18/2280a/a/1/A..C"
"subparagraphs (A) through (E)","usc/18/2280a/a/1/A..E"
"2281 through 2281a","usc/18/2281..2281a"
"paragraphs (3) through (8)","usc/18/831/a/3..8"
"(4) through (9)","usc/18/831/a/4..9"
"subsections (d) through (f)","usc/18/831/d..f"
"(e) through (g)","usc/18/831/e..g"
"subparagraphs (A) through (C)","usc/18/2280a/a/1/A..C"
"subparagraphs (A) through (E)","usc/18/2280a/a/1/A..E"
"paragraphs (3) through (8)","usc/18/831/a/3..8"
"(4) through (9)","usc/18/831/a/4..9"
"subsections (d) through (f)","usc/18/831/d..f"
"(e) through (g)","usc/18/831/e..g"
"subparagraphs (A) through (C)","usc/18/2280a/a/1/A..C"
"subparagraphs (A) through (E)","usc/18/2280a/a/1/A..E"
"2281 through 2281a","usc/18/2281..2281a"
"paragraphs (3) through (8)","usc/18/831/a/3..8"
"(4) through (9)","usc/18/831/a/4..9"
"paragraphs (1) through (5)","usc/18/831/a/1..5"
"paragraphs (1) through (7)","usc/18/831/a/1..7"
"subsections (d) through (f)","usc/18/831/d..f"
"(e) through (g)","usc/18/831/e..g"
"subsections (c) through (e)","usc/10/860/c..e"
"subsections (a) through (f)","usc/11/1113/a..f"
"U.S.C. 1735f–18(b)(2)","usc/12/1735f-18/b/2"
"1115 through 1119 of title 31","usc/31/1115..1119"
"1115 through 1119 of title 31","usc/31/1115..1119"
"1115 through 1119 of title 31","usc/31/1115..1119"
"subparagraphs (A) through (F) of section 5312(a)(2)","usc/31/5312/a/2/A..F"
"subparagraphs (A) through (F) of section5312(a)(2)","usc/31/5312/a/2/A..F"
"42 U.S.C. 14043c through 14043c–3","usc/42/14043c..14043c-3"
"14043d–4","usc/42/14043d-4"
"1490p–2","usc/42/1490p-2"
"Sections 3315 through 3324 of title 44","usc/44/3315..3324"
"sections 3315 through 3324","usc/44/3315..3324"
"Sections 3315 through 3324 of title 44, United States Code","usc/44/3315..3324"
"sections 3315 through 3324","usc/44/3315..3324"
"Sections 3315 through 3324 of title 44, United States Code","usc/44/3315..3324"
"sections 3315 through 3324","usc/44/3315..3324"
"Sections 3315 through 3324 of title 44, United States Code","usc/44/3315..3324"
"sections 3315 through 3324","usc/44/3315..3324"
"subparagraphs (A) through (F) of paragraph (1)","usc/49/44939/a/1/A..F"
"clauses (i) through (vi)","usc/49/44939/a/1//i..vi"
"42 U.S.C. 290kk through 290kk–3","usc/42/290kk..290kk-3"
"subsections (b)through (h)","usc/18/2602/b..h"
"subsections (b) through (h)","usc/18/2602/b..h"
"1395w–4","usc/42/1395w-4"
"1395w–4","usc/42/1395w-4"
"paragraphs (25) through (27)","usc/18/921/a/25..27"
"(32) through (35)","usc/18/921/a/32..35"
"paragraphs (25) through (30)","usc/18/921/a/25..30"
"paragraphs (5) through (7)","usc/18/924/a/5..7"
"paragraphs (4) through (6)","usc/18/924/a/4..6"
"42 U.S.C.12645g(c)(1)–(4)","usc/42/12645g/c/1..4"
"subparagraphs (A) through (D) of section 923(d)(1)","usc/18/923/d/1/A..D"
"sections 3531 through 3538","usc/44/3531..3538"
"sections 3541 through 3549","usc/44/3541..3549"
"clause (i) through (vi) ofsubparagraph (A)","usc/18/1030/c/5/A/i..vi"
"paragraphs (4) through (6)","usc/18/922/p/4..6"
"paragraphs (4) through (6)","usc/18/922/p/4..6"
"16 U.S.C. 1a-5(c)","usc/16/1a-5/c"
"1601 through 1611 of title 28, United States Code","usc/28/1601..1611"
"clauses (i) through (iv) of subparagraph (A)","usc/14/182/a/1/A/i..iv"
"clauses (i) through (iv) of subsection (a)(1)(A) of such section 182","usc/14/182/a/1/A/i..iv"
"paragraphs (1) through (4) of section 8424(a)","usc/5/8424/a/1..4"
"7 U.S.C. 1010–1012","usc/7/1010..1012"
"7 U.S.C. 1010–1012","usc/7/1010..1012"
"subclauses (II) through (VII)","usc/49/44903/j/2/C/iii/II..VII"
"subclauses (III) through (VIII)","usc/49/44903/j/2/C/iii/III..VIII"
"7 U.S.C. 321–326a","usc/7/321..326a"
"subsections (d) through (h)","usc/40/3307/d..h"
"subsections (e) through (i)","usc/40/3307/e..i"
"paragraphs (1) through (5) of section 5318A(b) of title 31, United States Code","usc/31/5318A/b/1..5"
"aragraphs (1) through (5) of section 5318A(b) of title 31, United States Code","usc/31/5318A/b/1..5"
"paragraphs (1) through (5) of section 5318A(b) of title 31, United States Code","usc/31/5318A/b/1..5"
"paragraphs (2) through (4)","usc/38/4312/f/2..4"
"paragraphs (3) through (5)","usc/38/4312/f/3..5"
"paragraphs (1) through (4) of section 8424(a)","usc/5/8424/a/1..4"
"22 U.S.C. 2151b(f)(1)–(3)","usc/22/2151b/f/1..3"
"paragraphs (3) through (8) of sections 3311(b)","usc/38/3311/b/3..8"
"paragraphs (2) through (7) of subsection (c)","usc/38/3313/c/2..7"
"subsections (c) through (g)","usc/23/313/c..g"
"subsections (d) through (h)","usc/23/313/d..h"
"subsections (a) through (c)","usc/18/143/a..c"
"clauses (i) through (iii) of subparagraph (B)","usc/18/161/a/4/B/i..iii"
"clauses (i) through (v) of section 225(1)(A)","usc/18/225//1/A/i..v"
