"Section|1|of|the|Act|entitled|An|Act|to|change|the|effective|date|for|the|internet|publication|of|certain|information|to|prevent|harm|to|the|national|security|or|endangering|the|military|officers|and|civilian|employees|to|whom|the|publication|requirement|applies,|and|for|other|purposes", "An Act to change the effective date for the internet publication of certain information to prevent harm to the national security or endangering the military officers and civilian employees to whom the publication requirement applies, and for other purposes/s:1", "1"
"Section|101|of|the|Act|entitled|An|Act|relating|to|the|power|of|the|States|to|impose|net|income|taxes|on|income|derived|from|interstate|commerce,|and|authorizing|studies|by|congressional|committees|of|matters|pertaining|thereto", "An Act relating to the power of the States to impose net income taxes on income derived from interstate commerce, and authorizing studies by congressional committees of matters pertaining thereto/s:101", "1"
"Section|(6)(e)|of|the|Joint|Resolution|entitled|A|Joint|Resolution|to|approve|the|Covenant|to|Establish|a|Commonwealth|of|the|Northern|Mariana|Islands|in|Political|Union|with|the|United|States|of|America,|and|for|other|purposes", "A Joint Resolution to approve the Covenant to Establish a Commonwealth of the Northern Mariana Islands in Political Union with the United States of America, and for other purposes/s:6/ss:e", "1"
"Title|I|of|the|Act|entitled|An|Act|relating|to|the|power|of|the|States|to|impose|net|income|taxes|on|income|derived|from|interstate|commerce,|and|authorizing|studies|by|congressional|committees|of|matters|pertaining|thereto", "An Act relating to the power of the States to impose net income taxes on income derived from interstate commerce, and authorizing studies by congressional committees of matters pertaining thereto/t:I", "1"
"Section|6|of|the|Joint|Resolution|entitled|A|Joint|Resolution|to|approve|the|Covenant|To|Establish|a|Commonwealth|of|the|Northern|Mariana|Islands|in|Political|Union|with|the|United|States|of|America,|and|for|other|purposes", "A Joint Resolution to approve the Covenant To Establish a Commonwealth of the Northern Mariana Islands in Political Union with the United States of America, and for other purposes/s:6", "1"
"Section|2(b)|of|the|Act|entitled|An|Act|to|provide|for|the|registration|and|protection|of|trademarks|used|in|commerce,|to|carry|out|the|provisions|of|certain|international|conventions,|and|for|other|purposes", "Trademark Act of 1946/s:2/ss:b", "2"
"first|section|of|the|Act|entitled|An|Act|making|appropriations|for|the|construction,|repair,|and|preservation|of|certain|public|works|on|rivers|and|harbors,|and|for|other|purposes,|approved|July|25,|1912", "River and Harbor Act of 1912", "1"
"section|1(c)(2)|of|the|Act|entitled|An|Act|to|increase|the|number|of|Iraqi|and|Afghani|translators|and|interpreters|who|may|be|admitted|to|the|United|States|as|special|immigrants,|and|for|other|purposes", "An Act to increase the number of Iraqi and Afghani translators and interpreters who may be admitted to the United States as special immigrants, and for other purposes/s:1/ss:c/p:2", "1"
"Section|9|of|the|Act|entitled|An|Act|authorizing|construction|of|water|conservation|and|utilization|projects|in|the|Great|Plains|and|arid|semiarid|areas|of|the|United|States|,|approved|August|11,|1939", "Water Conservation and Utilization Act/s:9", "1"
"section|14|of|the|Act|entitled|An|Act|making|appropriations|for|the|construction,|repair,|and|preservation|of|certain|public|works|on|rivers|and|harbors,|and|for|other|purposes,|approved|March|3,|1899", "Rivers and Harbors Appropriation Act of 1899/s:14", "1"
"Section|4|of|the|Act|entitled|An|Act|making|appropriations|for|the|construction,|repair,|and|preservation|of|certain|public|works|on|rivers|and|harbors,|and|for|other|purposes,|approved|March|4,|1915", "River and Harbor Act of 1915/s:4", "1"
"An|Act|relating|to|the|power|of|the|States|to|impose|net|income|taxes|on|income|derived|from|interstate|commerce,|and|authorizing|studies|by|congressional|committees|of|matters|pertaining|thereto", "An Act relating to the power of the States to impose net income taxes on income derived from interstate commerce, and authorizing studies by congressional committees of matters pertaining thereto", "1"
"section|22(a)|of|the|Act|entitled|An|Act|to|provide|for|the|fifteenth|and|subsequent|decennial|censuses|and|to|provide|for|an|apportionment|of|Representatives|in|Congress,|approved|June|18,|1929", "Reapportionment Act of 1929/s:22/ss:a", "1"
"An|Act|to|authorize|the|erection|of|a|memorial|on|Federal|Land|in|the|District|of|Columbia|and|its|environs|to|honor|members|of|the|Armed|Forces|of|the|United|States|who|served|in|the|Korean|War", "An Act to authorize the erection of a memorial on Federal Land in the District of Columbia and its environs to honor members of the Armed Forces of the United States who served in the Korean War", "1"
"Fannie|Lou|Hamer,|Rosa|Parks,|Coretta|Scott|King,|César|E.|Chávez,|Barbara|C.|Jordan,|William|C.|Velásquez,|and|Dr.|Hector|P.|Garcia|Voting|Rights|Act|Reauthorization|and|Amendments|Act|of|2006", "Fannie Lou Hamer, Rosa Parks, Coretta Scott King, CeØAE1sar E. ChaØAE1vez, Barbara C. Jordan, William C. VelaØAE1squez, and Dr. Hector P. Garcia Voting Rights Act Reauthorization and Amendments Act of 2006", "1"
"section|2|of|the|Act|entitled|An|Act|authorizing|the|construction,|repair,|and|preservation|of|certain|public|works|on|rivers|and|harbors,|and|for|other|purposes|,|approved|of|March|2,|1945", "River and Harbor Act of 1945/s:2", "1"
"section|2|of|the|Act|entitled|An|Act|authorizing|the|construction,|repair,|and|preservation|of|certain|public|works|on|rivers|and|harbors,|and|for|other|purposes,|approved|of|March|2,|1945", "River and Harbor Act of 1945/s:2", "1"
"section|5(c)|of|the|Act|entitled|An|Act|authorizing|the|construction|of|certain|public|works|on|rivers|and|harbors|for|flood|control,|and|for|other|purposes,|approved|August|18,|1941", "Flood Control Act of 1941/s:5/ss:c", "1"
"An|Act|to|amend|the|Act|of|July|31,|1947|(61|Stat.|681)|and|the|mining|laws|to|provide|for|multiple|use|of|the|surface|of|the|same|tracts|of|the|public|lands,|and|for|other|purposes", "An Act to amend the Act of July 31, 1947 (61 Stat. 681) and the mining laws to provide for multiple use of the surface of the same tracts of the public lands, and for other purposes", "2"
"first|section|of|the|Act|entitled|An|Act|authorizing|the|construction|of|certain|public|works|on|rivers|and|harbors|for|flood|control,|and|for|other|purposes,|approved|July|24,|1946", "Flood Control Act of 1946", "1"
"section|5|of|the|Act|entitled|An|Act|authorizing|the|construction|of|certain|public|works|on|rivers|and|harbors|for|flood|control,|and|for|other|purposes|,|approved|August|18,|1941", "River and Harbor Act of 1941/s:5", "1"
"Section|501|of|the|Act|entitled|An|Act|to|authorize|certain|appropriations|for|the|territories|of|the|United|States,|to|amend|certain|Acts|relating|thereto,|and|for|other|purposes", "An Act to authorize certain appropriations for the territories of the United States, to amend certain Acts relating thereto, and for other purposes/s:501", "1"
"section|5|of|the|Act|entitled|An|Act|authorizing|the|construction|of|certain|public|works|on|rivers|and|harbors|for|flood|control,|and|for|other|purposes,|approved|August|18,|1941", "Flood Control Act of 1941/s:5", "1"
"section|5|of|the|Act|entitled|An|Act|authorizing|the|construction|of|certain|public|works|on|rivers|and|harbors|for|flood|control,|and|for|other|purposes,|approved|June|22,|1936", "River and Harbor Act of 1936/s:5", "1"
"section|10|of|the|Act|entitled|An|Act|making|appropriations|for|the|construction,|repair,|and|preservation|of|certain|public|works|on|rivers|and|harbors,|and|for|other|purposes", "Rivers and Harbors Appropriation Act of 1899/s:10", "1"
"section|14|of|the|Act|entitled|An|Act|making|appropriations|for|the|construction,|repair,|and|preservation|of|certain|public|works|on|rivers|and|harbors,|and|for|other|purposes", "Rivers and Harbors Appropriation Act of 1899/s:14", "2"
"An|Act|to|provide|for|the|registration|and|protection|of|trademarks|used|in|commerce,|to|carry|out|the|provisions|of|certain|international|conventions,|and|for|other|purposes,", "Lanham Act", "2"
"Section|4|of|the|Act|entitled|An|Act|making|appropriations|for|the|construction,|repair,|and|preservation|of|certain|public|works|on|rivers|and|harbors,|and|for|other|purposes", "River and Harbor Act of 1915/s:4", "1"
"paragraphs|(2),|(3),|(4),|(7),|(8),|(9),|(5),|(10),|(15),|(17),|(18),|(19),|(20),|(22),|(23),|(24),|(25),|(32),|(26),|(27),|(28),|(29),|(30),|(31),|(33),|(34),|(35),|and|(14)", "Equity in Educational Land-Grant Status Act of 1994/s:532/p:2, 3, 4, 7, 8, 9, 5, 10, 15, 17, 18, 19, 20, 22, 23, 24, 25, 32, 26, 27, 28, 29, 30, 31, 33, 34, 35, 14", "2"
"paragraphs|(1),|(2),|(3),|(4),|(6),|(7),|(8),|(9),|(14),|(15),|(16),|(17),|(18),|(19),|(20),|(21),|(22),|(23),|(24),|(25),|(26),|(28),|(29),|(30),|(31),|(32),|(33),|and|(34)", "Equity in Educational Land-Grant Status Act of 1994/s:532/p:1, 2, 3, 4, 6, 7, 8, 9, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34", "2"
"Section|402|of|the|Act|entitled|An|Act|making|emergency|supplemental|appropriations|for|border|security|for|the|fiscal|year|ending|September|30,|2010,|and|for|other|purposes", "An Act making emergency supplemental appropriations for border security for the fiscal year ending September 30, 2010, and for other purposes/s:402", "6"
"Section|9|of|the|Act|entitled|An|Act|authorizing|construction|of|water|conservation|and|utilization|projects|in|the|Great|Plains|and|arid|semiarid|areas|of|the|United|States", "Water Conservation and Utilization Act/s:9", "2"
"section|22(b)|of|the|Act|entitled|“An|Act|to|provide|for|the|fifteenth|and|subsequent|decennial|censuses|and|to|provide|for|an|apportionment|of|Representatives|in|Congress”", "Reapportionment Act of 1929/s:22/ss:b", "1"
"Section|22(c)|of|the|Act|entitled|“An|Act|to|provide|for|the|fifteenth|and|subsequent|decennial|censuses|and|to|provide|for|an|apportionment|of|Representatives|in|Congress”", "Reapportionment Act of 1929/s:22/ss:c", "1"
"section|22(b)|of|the|Act|entitled|An|Act|to|provide|for|the|fifteenth|and|subsequent|decennial|censuses|and|to|provide|for|an|apportionment|of|Representatives|in|Congress,", "Reapportionment Act of 1929/s:22/ss:b", "1"
"Section|22(c)|of|the|Act|entitled|An|Act|to|provide|for|the|fifteenth|and|subsequent|decennial|censuses|and|to|provide|for|an|apportionment|of|Representatives|in|Congress,", "Reapportionment Act of 1929/s:22/ss:c", "1"
"section|1(a)(9)|of|the|Act|entitled|An|Act|to|authorize|major|medical|facility|leases|for|the|Department|of|Veterans|Affairs|for|fiscal|year|2010,|and|for|other|purposes.", "Act entitled An Act to authorize major medical facility leases for the Department of Veterans Affairs for fiscal year 2010, and for other purposes./s:1/ss:a/p:9", "1"
"Section|406|of|the|Transportation,|Treasury,|Housing|and|Urban|Development,|the|Judiciary,|the|District|of|Columbia,|and|Independent|Agencies|Appropriations|Act,|of|2006", "Transportation, Treasury, Housing and Urban Development, the Judiciary, the District of Columbia, and Independent Agencies Appropriations Act, of 2006/s:406", "1"
"section|1(a)(9)|of|the|Act|entitled|An|Act|to|authorize|major|medical|facility|leases|for|the|Department|of|Veterans|Affairs|for|fiscal|year|2010,|and|for|other|purposes", "An Act to authorize major medical facility leases for the Department of Veterans Affairs for fiscal year 2010, and for other purposes/s:1/ss:a/p:9", "1"
"An|Act|making|appropriations|for|the|construction,|repair,|and|preservation|of|certain|public|works|on|rivers|and|harbors,|and|for|other|purposes,|approved|July|25,|1912", "River and Harbor Act of 1912", "1"
"An|Act|making|appropriations|for|the|construction,|repair,|and|preservation|of|certain|public|works|on|rivers|and|harbors,|and|for|other|purposes,|approved|June|3,|1896", "River and Harbor Act of 1896", "1"
"Section|22(a)|of|the|Act|entitled|An|Act|to|provide|for|the|fifteenth|and|subsequent|decennial|censuses|and|to|provide|for|apportionment|of|Representatives|in|Congress", "Reapportionment Act of 1929/s:22/ss:a", "2"
"An|Act|to|increase|the|number|of|Iraqi|and|Afghani|translators|and|interpreters|who|may|be|admitted|to|the|United|States|as|special|immigrants,|and|for|other|purposes", "An Act to increase the number of Iraqi and Afghani translators and interpreters who may be admitted to the United States as special immigrants, and for other purposes/s:1/ss:c/p:2", "1"
"Section|406|of|the|Transportation,|Treasury,|Housing|and|Urban|Development,|the|Judiciary,|the|District|of|Columbia,|and|Independent|Agencies|Appropriations|Act,|2006", "Transportation, Treasury, Housing and Urban Development, the Judiciary, the District of Columbia, and Independent Agencies Appropriations Act, 2006/s:406", "3"
"section|842|of|the|Transportation,|Treasury,|Housing|and|Urban|Development,|the|Judiciary,|the|District|of|Columbia,|and|Independent|Agencies|Appropriations|Act,|2006", "Transportation, Treasury, Housing and Urban Development, the Judiciary, the District of Columbia, and Independent Agencies Appropriations Act, 2006/s:842", "3"
"Section|22|of|the|Act|entitled|An|Act|to|provide|for|the|fifteenth|and|subsequent|decennial|censuses|and|to|provide|for|apportionment|of|Representatives|in|Congress", "Reapportionment Act of 1929/s:22", "1"
"section|2|of|the|Act|entitled|An|Act|authorizing|the|construction,|repair,|and|preservation|of|certain|public|works|on|rivers|and|harbors,|and|for|other|purposes|,", "River and Harbor Act of 1930/s:2", "1"
"section|2|of|the|Act|entitled|An|Act|authorizing|the|construction,|repair,|and|preservation|of|certain|public|works|on|rivers|and|harbors,|and|for|other|purposes", "River and Harbor Act of 1945/s:2", "1"
"Examination|of|Exposures|to|Environmental|Hazards|During|Military|Service|and|Health|Care|for|Atsugi|Naval|Air|Facility|Veterans|and|their|Families|Act|of|2014", "Examination of Exposures to Environmental Hazards During Military Service and Health Care for Atsugi Naval Air Facility Veterans and their Families Act of 2014", "1"
"Section|5(a)(1)|of|the|Act|entitled|An|Act|authorizing|the|construction|of|certain|public|works|on|rivers|and|harbors|for|flood|control,|and|for|other|purposes", "An Act authorizing the construction of certain public works on rivers and harbors for flood control, and for other purposes/s:5/ss:a/p:1", "1"
"section|5(c)|of|the|Act|entitled|An|Act|authorizing|the|construction|of|certain|public|works|on|rivers|and|harbors|for|flood|control,|and|for|other|purposes|,", "River and Harbor Act of 1941/s:5/ss:c", "1"
"Section|1|of|the|Act|titled|An|Act|to|revise|the|boundary|of|Gettysburg|National|Military|Park|in|the|Commonwealth|of|Pennsylvania,|and|for|other|purposes|,", "An Act to revise the boundary of Gettysburg National Military Park in the Commonwealth of Pennsylvania, and for other purposes/s:1", "1"
"Section|6(a)|of|the|Act|entitled|An|Act|to|promote|the|development|of|Indian|arts|and|crafts|and|to|create|a|board|to|assist|therein,|and|for|other|purposes", "An Act to promote the development of Indian arts and crafts and to create a board to assist therein, and for other purposes/s:6/ss:a", "1"
"Section|1|of|the|Act|entitled|An|Act|to|establish|a|reservation|for|the|Confederated|Tribes|of|the|Grand|Ronde|Community|of|Oregon,|and|for|other|purposes,", "An Act to establish a reservation for the Confederated Tribes of the Grand Ronde Community of Oregon, and for other purposes/s:1", "3"
"Section|5|of|the|Act|entitled|An|Act|authorizing|the|construction|of|certain|public|works|on|rivers|and|harbors|for|flood|control,|and|for|other|purposes|,", "River and Harbor Act of 1936/s:5", "1"
"section|5|of|the|Act|entitled|An|Act|authorizing|the|construction|of|certain|public|works|on|rivers|and|harbors|for|flood|control,|and|for|other|purposes|,", "River and Harbor Act of 1936/s:5", "2"
"section|4|of|the|Act|entitled|An|Act|authorizing|the|construction|of|certain|public|works|on|rivers|and|harbors|for|flood|control,|and|for|other|purposes|,", "Flood Control Act of 1944/s:4", "1"
"Section|1|of|the|Act|titled|An|Act|to|revise|the|boundary|of|Gettysburg|National|Military|Park|in|the|Commonwealth|of|Pennsylvania,|and|for|other|purposes", "An Act to revise the boundary of Gettysburg National Military Park in the Commonwealth of Pennsylvania, and for other purposes/s:1", "1"
"section|4|of|the|Act|entitled|An|Act|authorizing|the|construction|of|certain|public|works|on|rivers|and|harbors|for|flood|control,|and|for|other|purposes,", "Flood Control Act of 1944/s:4", "1"
"1016(e)|of|the|Uniting|and|Strengthening|America|by|Providing|Appropriate|Tools|Required|to|Intercept|and|Obstruct|Terrorism|(USA|PATRIOT|ACT)|Act|of|2001", "PATRIOT Act", "1"
"section|5|of|the|Act|entitled|An|Act|authorizing|the|construction|of|certain|public|works|on|rivers|and|harbors|for|flood|control,|and|for|other|purposes,", "Flood Control Act of 1936/s:5", "1"
"Section|5|of|the|Act|entitled|An|Act|authorizing|the|construction|of|certain|public|works|on|rivers|and|harbors|for|flood|control,|and|for|other|purposes", "Flood Control Act of 1936/s:5", "1"
"Generating|Renewal,|Opportunity,|and|Work|with|Accelerated|Mobility,|Efficiency,|and|Rebuilding|of|Infrastructure|and|Communities|throughout|America|Act", "Generating Renewal, Opportunity, and Work with Accelerated Mobility, Efficiency, and Rebuilding of Infrastructure and Communities throughout America Act", "1"
